open,high,low,close,volume
36.65,37.9,36.4,37.9,405582
37.15,37.15,35.3,36.45,311554
37.5,37.8,36.54,36.64,347333
38.15,38.15,37.06,37.2,407031
37.19,38.28,37.1,37.6,453057
37.01,37.55,36.78,37,614427
35.51,36.75,35.51,36.46,741218
35.2,35.4,34.83,35.27,506560
36.06,36.06,34.53,34.9,340974
35.3,36.04,35.15,35.78,830681
34.27,35.47,34.27,34.85,393433
34.57,35,34.15,34.4,517577
34.85,34.85,33.86,34.17,357618
34.3,34.91,34.1,34.55,799055
32.5,34.35,32.36,33.93,1379444
31.91,32.5,31.2,32.5,632258
31.2,32.2,31.2,31.8,442277
30.69,31.88,30.33,30.7,441045
30.5,31.17,30.1,30.32,718443
31.2,31.2,30.52,30.52,393395
31.9,32,30.88,31,480373
31.65,32,31.45,31.7,646737
32.57,32.9,30.55,31.7,947966
31.12,33.2,31.12,32.4,1120347
31.1,31.67,30.95,31.11,556788
31,31.76,30.8,30.8,613291
31.22,31.68,30.81,30.92,456902
31.5,31.5,30.9,31.25,577799
32.8,33.39,31.2,31.5,1111403
33,33.09,32.55,32.58,380551
33.3,33.75,32.5,32.68,526019
34.58,34.58,33.15,33.6,354923
34.55,34.55,33.15,34.55,412510
33.67,34.64,32.55,34.56,611999
34.65,34.98,33.75,34,337253
34.5,35.23,33.17,34.76,456203
33.26,34.69,33.22,34.46,358224
33.65,33.9,33.1,33.85,382940
35.2,35.2,33.51,33.64,426978
35.23,36.17,34.05,34.51,534203
35.5,35.69,35,35.23,283128
35.49,35.85,34.76,35.45,424061
36.24,36.24,35.02,35.02,417009
36.6,36.6,35.34,35.4,219699
37.31,37.31,35.5,36.46,584996
37.72,38,37.27,37.3,395038
37.5,38.65,37.5,37.65,313221
39.16,39.5,37.12,37.12,3670508
39.15,39.25,38.74,38.9,243022
38.52,39.25,38.05,39.25,340363
38,38.6,38,38.52,250338
38.44,38.44,37.85,38,73239
38.5,38.98,38,38,317332
38.9,39.5,38,38.1,464429
38.7,38.79,37.85,38.24,322704
38.6,39.08,38.16,38.56,382864
38.2,38.3,37.75,38.18,210548
37.85,38.51,37.5,37.91,306273
38.17,38.7,37.1,37.5,239240
38.55,38.79,37.55,37.85,271567
38.6,39.15,38.16,38.26,639294
37.09,38.22,37,37.87,278854
37.4,37.99,36.35,36.5,649807
38.6,39.08,37.4,37.75,405835
38.2,39,38,38.1,284599
37.89,38.44,37.5,38.2,474382
37.26,38.45,37,37.7,400629
38.65,38.65,37.2,37.7,670518
38.65,39.3,37.61,38.29,928279
39,39,37.81,38.18,1137518
41.6,41.76,37.91,38.6,2446517
43.49,43.95,39.36,40.99,1608242
44.97,44.97,42.8,43.5,369778
44.35,45.2,44,44.65,385456
44.62,45.04,44.38,44.8,298257
45.25,45.25,44.5,45.07,175225
45.3,45.41,44.55,45.01,211675
46.17,46.17,44.6,45.6,229566
44.42,45.75,43.55,45.45,232853
44.47,45.15,44.01,44.7,163695
45.8,46,44.43,44.67,210115
44.87,45.7,44.5,45.21,318908
43.8,44.85,43.61,44.56,279839
44,44.23,43.26,43.66,221885
43.4,44.05,42.36,43.61,263494
42.6,43.69,42.6,42.9,359994
44.78,44.78,42.65,42.7,344923
44,44.6,42.44,44.1,503044
42.1,44.85,41.78,43.68,482329
43.7,44.7,42.5,43.38,420144
43.2,45.15,43.2,43.7,498773
45.5,46.6,43.65,44,818856
44.9,46.27,44.9,45.65,303811
44.85,45.6,44.43,45,430692
46.65,46.65,44.32,44.85,515599
46.5,47.2,44.51,45.65,411834
47.95,48.55,46.1,46.7,741496
48.94,49.99,47.7,48.31,543843
48.59,48.84,47.1,48.5,333146
49.75,50,47.99,47.99,316439
47.35,49.69,47,49,613347
47.7,48.1,47.28,47.35,354742
47,48.78,46.63,48.17,296294
48.38,48.89,47.4,47.5,374671
48.25,49,47.15,47.78,298509
48.6,48.65,47.51,47.93,255131
47.95,48.5,47.2,48.5,318351
46.95,47.7,46.75,47.4,274883
47.1,47.49,45.81,46.95,268060
48.3,48.75,45.8,46.96,7031178
46.55,48.35,46.55,47.51,742458
45.5,46.9,43.3,46.25,457412
45.25,47,44.92,45.74,536061
43.5,45.14,42.9,44.1,580608
43.3,44.87,42.75,42.75,471448
43.15,44.09,42.2,42.28,538402
43.5,45.1,42.9,42.9,532335
44.95,44.95,41.86,42.46,589877
46.25,46.5,44.8,44.99,361555
